sub_cat	main_cat	count
Transportation_and_Logistics	Business	3
Gay,_Lesbian,_and_Bisexual	Society	2848
Water_Sports	Sports	73
Genres	Arts	171
Opportunities	Business	9258
Boating	Recreation	25
Online_Writing	Arts	5180
Marketing_and_Advertising	Business	30873
Information_Technology	Business	44
Pets	Recreation	10851
Internet	Computers	44837
Real_Estate	Business	501
Antiques_and_Collectibles	Shopping	2377
Math	Science	121
Chinese_Simplified	World	26977
Bulgarian	World	5298
Toys_and_Games	Shopping	9
Equestrian	Sports	3421
Art_History	Arts	10408
Photography	Arts	143214
Football	Sports	23035
Motorsports	Sports	106
Chemicals	Business	233
Nederlands	World	34172
Dansk	World	38672
International_Business_and_Trade	Business	12
Climbing	Recreation	84
History	Society	29
Organizations	Society	3178
Scouting	Recreation	431
Vehicles	Shopping	61
Chinese_Traditional	World	169
Retail_Trade	Business	14
Data_Formats	Computers	20
Video_Games	Games	241725
Crafts	Arts	404925
Military	Society	5
Skating	Sports	3902
Mining_and_Drilling	Business	119
Family	Home	27
Visual_Arts	Arts	194940
Slovensky	World	34
Disabled	Society	16
E-Commerce	Business	4
Data_Communications	Computers	36
Food_and_Related_Products	Business	94332
Health	Shopping	3550
Education	Reference	273566
Occitan	World	19
Telecommunications	Business	865
Oceania	Regional	96992
Caribbean	Regional	238
Animal	Health	845
Investing	Business	60397
Home_and_Garden	Shopping	148
Sports	Shopping	69
Research_Groups_and_Centers	Science	30
Biology	Science	69962
Earth_Sciences	Science	175
sub	main	count
Consultants	Computers	2
Automotive	Business	2142
Writers_Resources	Arts	994
People	Arts	32438
Conditions_and_Diseases	Health	70638
Astronomy	Science	11
North_America	Regional	3242944
Comics	Arts	26179
Professions	Health	14
Programming	Computers	340526
Cricket	Sports	11
Polski	World	97236
Museums	Reference	251
Greek	World	228
Materials	Business	595
Architecture	Arts	2167
Outdoors	Recreation	532
Hospitality	Business	19
Chemistry	Science	13
Publishing_and_Printing	Business	50791
Education_and_Training	Business	30
Electronics_and_Electrical	Business	34136
Business_Services	Business	77847
Central_America	Regional	1275
Biotechnology_and_Pharmaceuticals	Business	941
Agriculture	Science	455
Energy	Business	19445
Martial_Arts	Sports	128
Design	Arts	9502
Issues	Society	94
Arabic	World	342
Technology	Science	4050
Multi-Sports	Sports	1
Eesti	World	2
Galego	World	53
Humanities	Arts	6
Travel	Recreation	4
Multimedia	Computers	72
Bodyart	Arts	58
Magyar	World	778
Asia	Regional	174181
Environment	Science	2706
Management	Business	652
Music	Arts	1356908
Hindi	World	7
Religion_and_Spirituality	Society	803242
Medicine	Health	4683
Korean	World	7
Europe	Regional	426081
Literature	Arts	440094
Illustration	Arts	204
Autos	Recreation	65
Russian	World	86117
Aerospace_and_Defense	Business	348
Performing_Arts	Arts	463052
Tobacco	Recreation	3
Suomi	World	1138
Newspapers	News	17
Volleyball	Sports	6
Healthcare	Business	767
Software	Computers	1834949
Golf	Sports	6053
Industrial_Goods_and_Services	Business	319293
Deutsch	World	343222
South_America	Regional	98
Africa	Regional	24471
Svenska	World	24674
Italiano	World	79041
Skateboarding	Sports	1
Small_Business	Business	5
Ethnicity	Society	636
Euskara	World	239
Basketball	Sports	1492
Middle_East	Regional	54
Hrvatski	World	50
Cooking	Home	52649
Libraries	Reference	4
Animation	Arts	234313
Camps	Recreation	26
Soccer	Sports	7840
Arts_and_Entertainment	Business	449738
Genealogy	Society	25
Personal_Finance	Home	85
Agriculture_and_Forestry	Business	37431
Textiles_and_Nonwovens	Business	14
Consumer_Goods_and_Services	Business	1020214
Running	Sports	35348
Birding	Recreation	6
Law	Society	11815
Recreation	Shopping	387
Financial_Services	Business	275086
Movies	Arts	116745
Social_Sciences	Science	153684
Physics	Science	1
Collecting	Recreation	54
Construction_and_Maintenance	Business	413315
Norsk	World	595
Mental_Health	Health	41
Employment	Business	6
Japanese	World	75103
Hardware	Computers	4811
Food	Shopping	664
Radio	Arts	13324
Hebrew	World	119
Accounting	Business	8605
Esperanto	World	111538
Clothing	Shopping	150
Public_Health_and_Safety	Health	5
