sub_cat	main_cat	count
Genres	Arts	171
Online_Writing	Arts	5180
Art_History	Arts	10408
Photography	Arts	143214
Crafts	Arts	404925
Visual_Arts	Arts	194940
Writers_Resources	Arts	994
People	Arts	32438
Comics	Arts	26179
Architecture	Arts	2167
Design	Arts	9502
Humanities	Arts	6
Bodyart	Arts	58
Music	Arts	1356908
Literature	Arts	440094
Illustration	Arts	204
Performing_Arts	Arts	463052
Animation	Arts	234313
Movies	Arts	116745
Radio	Arts	13324
Transportation_and_Logistics	Business	3
Opportunities	Business	9258
Marketing_and_Advertising	Business	30873
Information_Technology	Business	44
Real_Estate	Business	501
Chemicals	Business	233
International_Business_and_Trade	Business	12
Retail_Trade	Business	14
Mining_and_Drilling	Business	119
E-Commerce	Business	4
Food_and_Related_Products	Business	94332
Telecommunications	Business	865
Investing	Business	60397
Automotive	Business	2142
Materials	Business	595
Hospitality	Business	19
Publishing_and_Printing	Business	50791
Education_and_Training	Business	30
Electronics_and_Electrical	Business	34136
Business_Services	Business	77847
Biotechnology_and_Pharmaceuticals	Business	941
Energy	Business	19445
Management	Business	652
Aerospace_and_Defense	Business	348
Healthcare	Business	767
Industrial_Goods_and_Services	Business	319293
Small_Business	Business	5
Arts_and_Entertainment	Business	449738
Agriculture_and_Forestry	Business	37431
Textiles_and_Nonwovens	Business	14
Consumer_Goods_and_Services	Business	1020214
Financial_Services	Business	275086
Construction_and_Maintenance	Business	413315
Employment	Business	6
Accounting	Business	8605
Internet	Computers	44837
Data_Formats	Computers	20
Data_Communications	Computers	36
Consultants	Computers	2
Programming	Computers	340526
Multimedia	Computers	72
Software	Computers	1834949
Hardware	Computers	4811
Video_Games	Games	241725
Animal	Health	845
Conditions_and_Diseases	Health	70638
Professions	Health	14
Medicine	Health	4683
Mental_Health	Health	41
Public_Health_and_Safety	Health	5
Family	Home	27
Cooking	Home	52649
Personal_Finance	Home	85
Newspapers	News	17
Boating	Recreation	25
Pets	Recreation	10851
Climbing	Recreation	84
Scouting	Recreation	431
Outdoors	Recreation	532
Travel	Recreation	4
Autos	Recreation	65
Tobacco	Recreation	3
Camps	Recreation	26
Birding	Recreation	6
Collecting	Recreation	54
Education	Reference	273566
Museums	Reference	251
Libraries	Reference	4
Oceania	Regional	96992
Caribbean	Regional	238
North_America	Regional	3242944
Central_America	Regional	1275
Asia	Regional	174181
Europe	Regional	426081
South_America	Regional	98
Africa	Regional	24471
Middle_East	Regional	54
Math	Science	121
Research_Groups_and_Centers	Science	30
Biology	Science	69962
Earth_Sciences	Science	175
Astronomy	Science	11
Chemistry	Science	13
Agriculture	Science	455
Technology	Science	4050
Environment	Science	2706
Social_Sciences	Science	153684
Physics	Science	1
Antiques_and_Collectibles	Shopping	2377
Toys_and_Games	Shopping	9
Vehicles	Shopping	61
Health	Shopping	3550
Home_and_Garden	Shopping	148
Sports	Shopping	69
Recreation	Shopping	387
Food	Shopping	664
Clothing	Shopping	150
Gay,_Lesbian,_and_Bisexual	Society	2848
History	Society	29
Organizations	Society	3178
Military	Society	5
Disabled	Society	16
Issues	Society	94
Religion_and_Spirituality	Society	803242
Ethnicity	Society	636
Genealogy	Society	25
Law	Society	11815
Water_Sports	Sports	73
Equestrian	Sports	3421
Football	Sports	23035
Motorsports	Sports	106
Skating	Sports	3902
Cricket	Sports	11
Martial_Arts	Sports	128
Multi-Sports	Sports	1
Volleyball	Sports	6
Golf	Sports	6053
Skateboarding	Sports	1
Basketball	Sports	1492
Soccer	Sports	7840
Running	Sports	35348
Chinese_Simplified	World	26977
Bulgarian	World	5298
Nederlands	World	34172
Dansk	World	38672
Chinese_Traditional	World	169
Slovensky	World	34
Occitan	World	19
Polski	World	97236
Greek	World	228
Arabic	World	342
Eesti	World	2
Galego	World	53
Magyar	World	778
Hindi	World	7
Korean	World	7
Russian	World	86117
Suomi	World	1138
Deutsch	World	343222
Svenska	World	24674
Italiano	World	79041
Euskara	World	239
Hrvatski	World	50
Norsk	World	595
Japanese	World	75103
Hebrew	World	119
Esperanto	World	111538
Arts	Overview	3454822
Business	Overview	2908075
Computers	Overview	2225253
Games	Overview	241725
Health	Overview	76226
Home	Overview	52761
News	Overview	17
Recreation	Overview	12081
Reference	Overview	273821
Regional	Overview	3966334
Science	Overview	231208
Shopping	Overview	7415
Society	Overview	821888
Sports	Overview	81417
World	Overview	925830
